SQL_File,Run_Time,Run_Number
21,0.844437837600708,1
21,1.308067798614502,2
21,0.700160026550293,3
21,0.5068061351776123,4
21,0.5282878875732422,5
21,0.6411488056182861,6
20,0.6574990749359131,1
20,0.6497728824615479,2
20,0.5993599891662598,3
20,0.679142951965332,4
20,0.5538392066955566,5
20,0.6079151630401611,6
22,0.5151081085205078,1
22,0.6191902160644531,2
22,0.6088719367980957,3
22,1.209193229675293,4
22,0.52945876121521,5
22,0.662585973739624,6
18,0.558445930480957,1
18,0.5553369522094727,2
18,0.519927978515625,3
18,0.5475537776947021,4
18,0.461622953414917,5
18,0.7560279369354248,6
19,0.8474440574645996,1
19,0.5324957370758057,2
19,0.5516371726989746,3
19,0.5464780330657959,4
19,0.5092160701751709,5
19,0.48896098136901855,6
4,0.8174090385437012,1
4,0.7089931964874268,2
4,0.5691931247711182,3
4,0.5887038707733154,4
4,0.6694002151489258,5
4,1.0405948162078857,6
5,0.5266129970550537,1
5,0.6287260055541992,2
5,0.6637811660766602,3
5,0.6446499824523926,4
5,0.590019941329956,5
5,0.5590591430664062,6
7,0.4698059558868408,1
7,1.2180826663970947,2
7,0.5509178638458252,3
7,0.5974302291870117,4
7,0.598297119140625,5
7,0.6569888591766357,6
6,0.47177910804748535,1
6,1.0989799499511719,2
6,1.4486050605773926,3
6,0.6293802261352539,4
6,0.5495028495788574,5
6,0.4346282482147217,6
2,0.551063060760498,1
2,0.642197847366333,2
2,2.0405497550964355,3
2,0.5970191955566406,4
2,0.6875307559967041,5
2,0.6307549476623535,6
3,0.537729024887085,1
3,0.3873178958892822,2
3,0.613206148147583,3
3,0.5069088935852051,4
3,0.5002191066741943,5
3,0.3983449935913086,6
1,0.5522449016571045,1
1,0.4173877239227295,2
1,0.4878220558166504,3
1,0.5104532241821289,4
1,0.4777090549468994,5
1,0.6719419956207275,6
8,0.5460481643676758,1
8,0.5400288105010986,2
8,0.6319081783294678,3
8,0.7463891506195068,4
8,0.4790158271789551,5
8,1.0599908828735352,6
9,0.5499541759490967,1
9,0.4869678020477295,2
9,0.548903226852417,3
9,0.6099610328674316,4
9,0.5600149631500244,5
9,0.5863721370697021,6
14,0.7099361419677734,1
14,0.5891709327697754,2
14,0.519676923751831,3
14,0.5190060138702393,4
14,0.5363810062408447,5
14,0.3917109966278076,6
15,0.5928230285644531,1
15,0.604050874710083,2
15,0.6286437511444092,3
15,0.5104010105133057,4
15,0.5389800071716309,5
15,0.47271013259887695,6
17,0.41385698318481445,1
17,0.4104340076446533,2
17,0.4405050277709961,3
17,0.49773383140563965,4
17,0.5374131202697754,5
17,0.5021357536315918,6
16,0.4853990077972412,1
16,0.4732680320739746,2
16,0.4888448715209961,3
16,0.45638394355773926,4
16,0.5978899002075195,5
16,0.5641880035400391,6
12,0.463878870010376,1
12,0.6200680732727051,2
12,0.4252500534057617,3
12,0.4201962947845459,4
12,0.702139139175415,5
12,0.7908248901367188,6
13,0.5424520969390869,1
13,0.4037458896636963,2
13,0.5298187732696533,3
13,0.48966193199157715,4
13,0.5288290977478027,5
13,0.618884801864624,6
11,1.1776072978973389,1
11,0.6106429100036621,2
11,0.5401270389556885,3
11,0.5168788433074951,4
11,0.6121211051940918,5
11,0.6074848175048828,6
10,0.5122017860412598,1
10,0.5152208805084229,2
10,0.4914560317993164,3
10,0.38890790939331055,4
10,0.5487940311431885,5
10,0.558089017868042,6
