Run_Number,SQL_File,Run_Time
1,7,1.797865867614746
2,7,0.5142085552215576
3,7,0.46762585639953613
4,7,0.5159831047058105
5,7,0.43048691749572754
6,7,0.5486114025115967
1,8,1.0708694458007812
2,8,0.44994258880615234
3,8,0.5312416553497314
4,8,0.4248645305633545
5,8,0.4887700080871582
6,8,0.40685224533081055
1,21,2.0719239711761475
2,21,0.387925386428833
3,21,0.37436723709106445
4,21,0.3583343029022217
5,21,0.4484398365020752
6,21,0.4067049026489258
1,4,0.7961878776550293
2,4,0.3970792293548584
3,4,0.38334083557128906
4,4,0.3853633403778076
5,4,0.3430969715118408
6,4,0.35972118377685547
1,3,0.9420487880706787
2,3,0.4177830219268799
3,3,0.43248462677001953
4,3,0.386127233505249
5,3,0.3671243190765381
6,3,0.4352140426635742
1,15,0.9247429370880127
2,15,0.44130420684814453
3,15,0.4239161014556885
4,15,0.39636921882629395
5,15,0.37523436546325684
6,15,0.3833045959472656
1,16,0.3848447799682617
2,16,0.4429335594177246
3,16,0.5467014312744141
4,16,0.4029676914215088
5,16,0.34330129623413086
6,16,0.43744373321533203
1,1,0.8414676189422607
2,1,0.4254722595214844
3,1,0.3566009998321533
4,1,0.36005163192749023
5,1,0.37895727157592773
6,1,0.32806968688964844
1,6,0.5067532062530518
2,6,0.41501355171203613
3,6,0.33447885513305664
4,6,0.3135230541229248
5,6,0.3287951946258545
6,6,0.3097231388092041
1,13,1.3688690662384033
2,13,0.35570311546325684
3,13,0.34273815155029297
4,13,0.3360934257507324
5,13,0.4576249122619629
6,13,0.37048983573913574
1,17,1.3976492881774902
2,17,0.3249037265777588
3,17,0.33669447898864746
4,17,0.414776086807251
5,17,0.37137842178344727
6,17,0.3178575038909912
1,2,0.42212629318237305
2,2,0.430556058883667
3,2,0.3639371395111084
4,2,0.5107097625732422
5,2,0.34943723678588867
6,2,0.34012556076049805
1,18,2.252281665802002
2,18,0.40998315811157227
3,18,0.5205636024475098
4,18,0.3821227550506592
5,18,0.36223602294921875
6,18,0.30865979194641113
1,11,0.48005032539367676
2,11,0.4422488212585449
3,11,0.4832124710083008
4,11,0.41359543800354004
5,11,0.4990382194519043
6,11,0.46522068977355957
1,14,0.8840036392211914
2,14,0.35770726203918457
3,14,0.3815910816192627
4,14,0.35956716537475586
5,14,0.3572561740875244
6,14,0.3815762996673584
1,22,0.8538799285888672
2,22,0.4027736186981201
3,22,0.3501925468444824
4,22,0.3747847080230713
5,22,0.37056398391723633
6,22,0.38527750968933105
1,9,2.35325288772583
2,9,0.41628170013427734
3,9,0.43430399894714355
4,9,0.40616345405578613
5,9,0.38504934310913086
6,9,0.3493800163269043
1,20,1.1467053890228271
2,20,0.5083739757537842
3,20,0.36762571334838867
4,20,0.38755154609680176
5,20,0.31787586212158203
6,20,0.34311842918395996
1,12,1.1208364963531494
2,12,0.4691133499145508
3,12,0.3559608459472656
4,12,0.362074613571167
5,12,0.32941508293151855
6,12,0.30855441093444824
1,5,0.4845108985900879
2,5,0.4277186393737793
3,5,0.4204130172729492
4,5,0.540921688079834
5,5,0.41164159774780273
6,5,0.4463942050933838
1,10,1.0115618705749512
2,10,0.3923771381378174
3,10,0.3603205680847168
4,10,0.37870001792907715
5,10,0.37752246856689453
6,10,0.40419888496398926
1,19,0.6546497344970703
2,19,0.35036253929138184
3,19,0.47028541564941406
4,19,0.3537578582763672
5,19,0.4463319778442383
6,19,0.3648796081542969
