SQL_File,Run_Time
21,3.050126791000366
20,2.867828845977783
22,1.7765657901763916
18,4.072965145111084
19,1.5722670555114746
4,1.8089439868927002
5,91.35814809799194
7,3.2202000617980957
6,1.6857852935791016
2,1.3684418201446533
3,2.0879640579223633
1,2.1494710445404053
8,2.609753131866455
9,3.1167898178100586
14,1.8971712589263916
15,2.810155153274536
17,2.8705787658691406
16,10.220223903656006
12,1.8141889572143555
13,3.368452787399292
11,1.6686067581176758
10,1.3046751022338867
